frame,time_s,center_x,center_y,radius_px
42,4.2e-06,29.207006454467773,30.181528091430664,20.534969329833984
43,4.3e-06,29.70661163330078,28.632230758666992,17.334148406982422
44,4.4e-06,30.0,28.5,11.10190200805664
45,4.5e-06,30.144508361816406,28.462427139282227,12.938506126403809
46,4.6e-06,30.066524505615234,29.268239974975586,17.246084213256836
47,4.7e-06,30.139442443847656,29.808765411376953,20.236751556396484
48,4.8e-06,30.309011459350586,30.17580795288086,21.495174407958984
49,4.9e-06,30.599767684936523,29.90603256225586,20.31712532043457
50,5e-06,29.384614944458008,29.0,15.937292098999023
51,5.1e-06,29.605262756347656,28.5,9.721781730651855
52,5.2e-06,29.112903594970703,29.20967674255371,14.164751052856445
53,5.3e-06,28.797468185424805,29.64556884765625,18.39388084411621
54,5.4e-06,29.547780990600586,30.278156280517578,21.023456573486328
55,5.5e-06,29.85004425048828,29.964637756347656,21.51844024658203
56,5.6e-06,29.88686180114746,29.419708251953125,19.490671157836914
57,5.7e-06,30.24193572998047,29.24193572998047,13.939634323120117
58,5.8e-06,31.5,28.5,10.12432861328125
59,5.9e-06,28.649999618530273,30.0,15.47984504699707
60,6e-06,29.11088752746582,30.286291122436523,19.468473434448242
61,6.1e-06,29.786603927612305,30.144859313964844,21.397493362426758
62,6.2e-06,30.051881790161133,29.756555557250977,21.12880516052246
63,6.3e-06,29.56324577331543,28.62291145324707,18.039270401000977
64,6.4e-06,28.785715103149414,28.64285659790039,11.791223526000977
65,6.5e-06,29.573530197143555,28.882352828979492,11.986187934875488
66,6.6e-06,28.5,30.045454025268555,16.988792419433594
67,6.7e-06,29.15831184387207,31.055408477783203,20.251985549926758
68,6.8e-06,29.039369583129883,31.44094467163086,21.655397415161133
69,6.9e-06,28.867727279663086,31.408891677856445,20.60948371887207
70,7e-06,28.65517234802246,30.025861740112305,16.437511444091797
71,7.1e-06,29.531055450439453,29.618011474609375,9.824299812316895
72,7.2e-06,29.75806427001953,29.129032135009766,14.109500885009766
73,7.3e-06,30.053627014160156,28.68138885498047,18.250728607177734
74,7.4e-06,30.70707130432129,29.53535270690918,20.797794342041016
75,7.5e-06,31.0,29.5,21.52334213256836
76,7.6e-06,30.93877601623535,29.14285659790039,19.569015502929688
77,7.7e-06,31.473684310913086,28.473684310913086,14.263646125793457
78,7.8e-06,31.082733154296875,29.84532356262207,10.148736000061035
79,7.9e-06,28.15322494506836,29.425403594970703,15.535660743713379
80,8e-06,28.620689392089844,29.827587127685547,19.281173706054688
81,8.1e-06,29.0,30.14285659790039,21.23733901977539
82,8.2e-06,29.0,30.14285659790039,21.23733901977539
83,8.3e-06,28.46363639831543,29.918182373046875,18.263917922973633
84,8.4e-06,29.393617630004883,29.787233352661133,11.896289825439453
85,8.5e-06,28.941177368164062,29.941177368164062,12.124740600585938
86,8.6e-06,29.735294342041016,28.02941131591797,17.007373809814453
87,8.7e-06,29.881818771362305,28.845455169677734,20.084503173828125
88,8.8e-06,29.805084228515625,29.279661178588867,21.518264770507812
89,8.9e-06,29.799400329589844,29.30239486694336,20.73249626159668
90,9e-06,28.661073684692383,28.77516746520996,16.65423011779785
91,9.1e-06,28.700000762939453,29.100000381469727,10.183420181274414
92,9.2e-06,28.986486434936523,29.283782958984375,14.045380592346191
93,9.3e-06,30.0,30.0,18.43918800354004
94,9.4e-06,30.12852668762207,29.64106559753418,20.65674591064453
95,9.5e-06,30.18000030517578,30.0,21.412067413330078
96,9.6e-06,29.590211868286133,30.000959396362305,19.756168365478516
97,9.7e-06,29.086956024169922,28.7391300201416,14.591251373291016
98,9.8e-06,29.5,29.0,10.920265197753906
99,9.9e-06,30.151453018188477,28.350622177124023,16.068567276000977
