frame,time_s,center_x,center_y,radius_px
84,8.4e-06,29.306121826171875,29.9489803314209,13.324713706970215
85,8.5e-06,29.417526245117188,29.922679901123047,14.729791641235352
86,8.6e-06,29.768455505371094,29.89261817932129,17.016220092773438
87,8.7e-06,30.02777862548828,30.009260177612305,18.414085388183594
88,8.8e-06,30.060976028442383,30.158536911010742,18.189603805541992
89,8.9e-06,29.33333396911621,29.66666603088379,16.347030639648438
90,9e-06,29.401918411254883,29.683368682861328,14.088216781616211
91,9.1e-06,29.29603385925293,29.599149703979492,13.510945320129395
92,9.2e-06,29.196027755737305,29.54145050048828,15.485007286071777
93,9.3e-06,29.761537551879883,29.653846740722656,17.68950843811035
94,9.4e-06,30.125,30.0,18.56123161315918
95,9.5e-06,29.97081756591797,29.90077781677246,17.72044563293457
96,9.6e-06,29.64487648010254,29.245582580566406,15.69448184967041
97,9.7e-06,29.401639938354492,29.008195877075195,13.55136489868164
98,9.8e-06,29.61442756652832,29.002487182617188,13.969841003417969
99,9.9e-06,29.91278076171875,29.47754669189453,16.292253494262695
100,1e-05,29.86206817626953,29.724138259887695,18.068702697753906
101,1.01e-05,29.702682495117188,29.97093963623047,18.403263092041016
102,1.02e-05,29.561349868774414,29.487730026245117,17.15871238708496
103,1.03e-05,29.30555534362793,29.4743595123291,14.773531913757324
104,1.04e-05,29.339080810546875,29.04022979736328,13.304728507995605
105,1.05e-05,29.287811279296875,29.093679428100586,14.713968276977539
106,1.06e-05,29.647014617919922,29.493873596191406,17.08974838256836
107,1.07e-05,30.0,29.625,18.381900787353516
108,1.08e-05,29.84482765197754,29.79310417175293,18.24360466003418
109,1.09e-05,29.447463989257812,29.344202041625977,16.411029815673828
110,1.1e-05,29.394737243652344,28.973684310913086,13.986886024475098
111,1.11e-05,29.272727966308594,28.909090042114258,13.436511993408203
112,1.12e-05,29.270700454711914,29.085987091064453,15.540199279785156
113,1.13e-05,29.680156707763672,29.612272262573242,17.690855026245117
114,1.14e-05,29.851852416992188,29.259260177612305,18.56969451904297
115,1.15e-05,29.987804412841797,28.92987823486328,17.751745223999023
116,1.16e-05,29.621952056884766,28.573171615600586,15.648157119750977
